,t,q,w,dw,u,I
0,24052561,6.88468,3.49383,555.27124,3,-0.00140
0,24055565,6.89000,1.77242,-573.03894,3,-0.00050
0,24058613,6.89533,1.74699,-8.34305,2,-0.00050
0,24061577,6.90065,1.79634,16.64948,2,-0.00270
0,24064537,6.90598,1.79877,0.82009,2,-0.00080
0,24067453,6.91662,3.65575,637.48022,2,-0.00090
0,24070461,6.91662,0.00000,-1215.34290,1,0.00290
0,24073489,6.92195,1.75621,579.22620,1,-0.00030
0,24076497,6.92727,1.77242,5.39636,1,-0.00060
0,24079413,6.93792,3.64699,641.97363,1,-0.00070
0,24082417,6.93792,0.00000,-1215.25745,0,0.00020
0,24085445,6.94325,1.75911,581.14136,0,-0.00050
0,24088449,6.94325,0.00000,-584.81213,0,-0.00040
0,24091489,6.94857,1.75374,577.64917,0,-0.00030
0,24094493,6.94857,0.00000,-583.02625,0,-0.00050
0,24097529,6.95390,1.75621,579.22620,0,0.00010
0,24100485,6.95390,0.00000,-593.91748,0,0.00000
0,24103453,6.95922,1.79211,603.20148,0,-0.00010
0,24106457,6.95922,0.00000,-596.57507,0,-0.00040
0,24109493,6.95922,0.00000,0.00000,0,0.00020
0,24112333,6.95922,0.00000,0.00000,0,-0.00030
0,24115217,6.95922,0.00000,0.00000,0,0.00030
0,24118053,6.95922,0.00000,0.00000,0,0.00010
0,24120889,6.95922,0.00000,0.00000,0,-0.00050
0,24123773,6.95922,0.00000,0.00000,0,-0.00020
0,24126657,6.95922,0.00000,0.00000,0,-0.00020
0,24129545,6.95922,0.00000,0.00000,0,-0.00030
0,24132429,6.95390,-1.84617,-640.14325,0,0.00020
0,24135477,6.95390,0.00000,605.69989,0,-0.00010
0,24138469,6.95390,0.00000,0.00000,0,-0.00030
0,24141357,6.95390,0.00000,0.00000,0,0.00000
0,24144177,6.95390,0.00000,0.00000,0,-0.00030
0,24147061,6.95390,0.00000,0.00000,1,0.00000
0,24149877,6.95390,0.00000,0.00000,1,0.00060
0,24152713,6.95390,0.00000,0.00000,1,-0.00020
0,24155597,6.95390,0.00000,0.00000,1,0.00040
0,24158437,6.95390,0.00000,0.00000,2,0.00020
0,24161277,6.95390,0.00000,0.00000,2,0.00020
0,24164113,6.95390,0.00000,0.00000,2,0.00090
0,24166949,6.95390,0.00000,0.00000,2,0.00010
0,24169793,6.95390,0.00000,0.00000,3,0.00060
0,24172629,6.95390,0.00000,0.00000,3,0.00110
0,24175465,6.95390,0.00000,0.00000,3,-0.00110
0,24178353,6.95390,0.00000,0.00000,4,0.00160
0,24181189,6.95390,0.00000,0.00000,4,0.00110
0,24184025,6.95390,0.00000,0.00000,4,0.00170
0,24186861,6.95390,0.00000,0.00000,5,0.00210
0,24189697,6.95390,0.00000,0.00000,5,0.00180
0,24192537,6.95390,0.00000,0.00000,6,0.00220
0,24195373,6.95390,0.00000,0.00000,6,0.00260
0,24198209,6.95390,0.00000,0.00000,6,0.00270
0,24201045,6.95390,0.00000,0.00000,7,0.00380
0,24203881,6.95390,0.00000,0.00000,7,0.00420
0,24206721,6.95390,0.00000,0.00000,8,0.00490
0,24209561,6.95390,0.00000,0.00000,8,0.00500
0,24212397,6.95390,0.00000,0.00000,9,0.00570
0,24215237,6.95390,0.00000,0.00000,9,0.00910
0,24218073,6.95390,0.00000,0.00000,10,0.00720
0,24220953,6.95390,0.00000,0.00000,11,0.00790
0,24223837,6.95390,0.00000,0.00000,11,0.00570
0,24226713,6.95390,0.00000,0.00000,12,0.00950
0,24229589,6.95390,0.00000,0.00000,12,0.01080
0,24232473,6.95390,0.00000,0.00000,13,0.01420
0,24235361,6.95390,0.00000,0.00000,14,0.01290
0,24238241,6.95390,0.00000,0.00000,14,0.01400
0,24241121,6.95390,0.00000,0.00000,15,0.01650
0,24244005,6.95390,0.00000,0.00000,15,0.01730
0,24246885,6.95390,0.00000,0.00000,16,0.01760
0,24249761,6.95390,0.00000,0.00000,17,0.01970
0,24252637,6.95390,0.00000,0.00000,17,0.02170
0,24255513,6.95390,0.00000,0.00000,18,0.02330
0,24258389,6.95922,1.85131,643.70953,19,0.02320
0,24261385,6.95922,0.00000,-617.92682,20,0.02510
0,24264409,6.95922,0.00000,0.00000,20,0.03110
0,24267293,6.95922,0.00000,0.00000,21,0.02970
0,24270177,6.95922,0.00000,0.00000,22,0.03080
0,24273057,6.95922,0.00000,0.00000,23,0.03610
0,24275937,6.95922,0.00000,0.00000,23,0.03840
0,24278813,6.95922,0.00000,0.00000,24,0.04040
0,24281693,6.95922,0.00000,0.00000,25,0.04280
0,24284569,6.95922,0.00000,0.00000,26,0.04400
0,24287449,6.95922,0.00000,0.00000,27,0.04600
0,24290329,6.95922,0.00000,0.00000,27,0.04780
0,24293209,6.96455,1.84890,641.98016,28,0.04840
0,24296205,6.96987,1.77716,-23.94710,29,0.05150
0,24299201,6.96987,0.00000,-593.17670,30,0.04960
0,24302233,6.97519,1.75606,579.17438,31,0.05050
0,24305233,6.98052,1.77495,6.29671,32,0.04970
0,24308149,6.98052,0.00000,-609.11011,33,0.05480
0,24311181,6.98584,1.75664,579.55658,33,0.05770
0,24314181,6.99117,1.77495,6.10360,34,0.06020
0,24317089,6.99117,0.00000,-609.73779,35,0.06210
0,24320113,7.00182,3.52156,1164.53784,36,0.06600
0,24323153,7.00182,0.00000,-1159.17126,37,0.06530
0,24326221,7.01247,3.46880,1129.90100,38,0.07080
0,24329257,7.01779,1.75374,-564.90546,39,0.06620
0,24332297,7.02312,1.75159,-0.70745,40,0.06780
0,24335257,7.03377,3.59770,623.68646,41,0.07570
0,24338257,7.03909,1.77479,-607.63873,42,0.07460
0,24341301,7.04441,1.74913,-8.42771,43,0.08760
0,24344261,7.05506,3.59770,624.51697,44,0.07880
0,24347257,7.06571,3.55329,-14.82022,45,0.08040
0,24350253,7.07104,1.77759,-592.88696,45,0.08550
0,24353297,7.08169,3.49842,565.31964,46,0.09410
0,24356293,7.09234,3.55447,18.70814,47,0.09240
0,24359245,7.10298,3.60745,17.94714,48,0.08920
0,24362201,7.10831,1.80121,-611.04480,49,0.09400
0,24365245,7.11896,3.50303,559.80988,50,0.09950
0,24368241,7.12961,3.54973,15.56905,51,0.09580
0,24371197,7.14558,5.40394,627.26825,52,0.10040
0,24374193,7.15623,3.55447,-617.31165,53,0.10780
0,24377233,7.17220,5.25446,559.20691,54,0.10860
0,24380233,7.18285,3.54973,-568.24280,55,0.09860
0,24383277,7.19350,3.49842,-16.85621,56,0.10520
0,24386277,7.20948,5.32452,608.69934,57,0.11630
0,24389273,7.22013,3.55566,-590.60486,58,0.10940
0,24392317,7.23610,5.24599,555.11682,59,0.12240
0,24395317,7.25207,5.32985,27.98161,60,0.11930
0,24398277,7.26272,3.59406,-585.82214,60,0.11880
0,24401317,7.27870,5.25446,546.18469,61,0.13380
0,24404317,7.29467,5.32468,23.40619,62,0.12490
0,24407269,7.31064,5.41110,29.27460,63,0.12650
0,24410229,7.32662,5.39648,-4.94074,64,0.13130
0,24413189,7.34259,5.39664,0.05445,65,0.12740
0,24416101,7.36389,7.31401,658.43988,66,0.14580
0,24419101,7.37986,5.32452,-663.16382,67,0.13080
0,24422145,7.39584,5.25101,-24.16633,68,0.14750
0,24425149,7.41713,7.09238,613.17639,68,0.12780
0,24428153,7.43311,5.31582,-591.19983,69,0.14740
0,24431197,7.44908,5.24411,-23.54192,70,0.13640
0,24434197,7.47038,7.09947,618.45221,71,0.14560
0,24437197,7.49168,7.09947,0.00000,72,0.13960
0,24440093,7.51298,7.35442,88.03639,73,0.15120
0,24443049,7.53428,7.20498,-50.55458,74,0.14440
0,24446049,7.55557,7.09947,-35.17135,74,0.15860
0,24449049,7.57687,7.09947,0.00000,75,0.14320
0,24451949,7.59817,7.34395,84.30366,76,0.15580
0,24454909,7.61947,7.19541,-50.18308,77,0.14900
0,24457905,7.64077,7.11132,-28.07560,78,0.16760
0,24460905,7.66207,7.09710,-4.73786,78,0.14820
0,24463865,7.68336,7.19541,33.21106,79,0.14960
0,24466817,7.70466,7.21491,6.60562,80,0.16830
0,24469729,7.73128,9.14244,661.92548,81,0.15420
0,24472733,7.75258,7.09238,-682.66992,81,0.17270
0,24475777,7.77921,8.74311,542.11279,82,0.15750
0,24478777,7.80583,8.87426,43.71548,83,0.16140
0,24481733,7.83245,9.00651,44.74107,83,0.17290
0,24484685,7.85375,7.21491,-606.91180,84,0.16380
0,24487725,7.88037,8.75749,507.42828,85,0.15820
0,24490725,7.90700,8.87722,39.92204,85,0.17280
0,24493681,7.93362,9.00635,43.68545,86,0.16580
0,24496641,7.96024,8.99434,-4.05730,87,0.17000
0,24499609,7.98686,8.96692,-9.23738,87,0.17510
0,24502569,8.01349,8.99738,10.29575,88,0.16470
0,24505529,8.04543,10.78566,603.74188,88,0.16200
0,24508577,8.06673,6.99226,-1245.37378,89,0.17950
0,24511677,8.09868,10.30553,1068.79749,90,0.18610
0,24514765,8.13063,10.34558,12.96880,90,0.16510
0,24517769,8.15725,8.86244,-493.71979,91,0.16330
0,24520817,8.18920,10.47822,529.93701,91,0.17390
0,24523861,8.21582,8.74598,-569.06567,92,0.19030
0,24526913,8.24777,10.47104,565.40637,92,0.18390
0,24529961,8.27972,10.47791,2.25266,93,0.17190
0,24532917,8.31166,10.80422,110.35435,93,0.17980
0,24535965,8.34361,10.48823,-103.74198,94,0.19370
0,24539061,8.37556,10.31249,-56.72607,94,0.17990
0,24542105,8.40751,10.49857,61.14955,95,0.17200
0,24545113,8.43945,10.61719,39.42392,95,0.16700
0,24548113,8.47140,10.65647,13.10014,95,0.16840
0,24551117,8.50335,10.63133,-8.36631,96,0.18230
0,24554125,8.53530,10.62457,-2.24638,96,0.19540
0,24557133,8.56724,10.61367,-3.62301,96,0.19410
0,24560149,8.59919,10.60662,-2.33986,97,0.18450
0,24563157,8.63114,10.60694,0.10512,97,0.16740
